2012-10-26 00:21:14 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 00:43:17 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 01:45:10 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 02:26:05 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 02:29:01 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 02:38:09 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 02:45:27 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 02:52:04 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 02:53:42 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 02:58:06 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 03:02:39 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 10:09:02 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 10:53:42 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 11:20:58 Notice: Notice (8): Undefined index: ID_PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 86]
2012-10-26 11:21:30 Notice: Notice (8): Undefined index: ID_PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 87]
2012-10-26 11:24:23 Notice: Notice (8): Undefined index: ID_PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 87]
2012-10-26 11:24:54 Notice: Notice (8): Undefined index: ID_PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 87]
2012-10-26 11:25:02 Notice: Notice (8): Undefined index: ID_PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 87]
2012-10-26 11:25:32 Notice: Notice (8): Undefined index: ID_PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 87]
2012-10-26 11:26:09 Notice: Notice (8): Undefined index: ID_PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 87]
2012-10-26 11:46:37 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 11:54:11 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 11:56:50 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 11:57:32 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 12:00:57 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 12:05:12 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 12:08:51 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 12:10:28 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 12:40:36 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 13:34:18 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 13:34:18 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 13:39:48 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 13:41:56 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 14:11:31 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 14:30:00 Notice: Notice (8): Undefined variable: CodiceStudio in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/login.ctp, line 6]
2012-10-26 14:30:18 Notice: Notice (8): Undefined variable: CodiceStudio in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/login.ctp, line 6]
2012-10-26 14:56:14 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 15:54:17 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 16:21:21 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 16:22:03 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 16:28:20 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 16:28:26 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 16:33:19 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 16:40:52 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 17:11:39 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 17:52:47 Notice: Notice (8): Undefined index: BIRTHDATE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 101]
2012-10-26 17:53:45 Notice: Notice (8): Undefined index: BIRTHDATE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 101]
2012-10-26 18:10:53 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 18:10:58 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 18:11:44 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 34]
2012-10-26 18:20:15 Notice: Notice (8): Undefined variable: PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 71]
2012-10-26 18:20:26 Notice: Notice (8): Undefined variable: PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 71]
2012-10-26 18:21:33 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 87]
